time,ais_frequency,resonance,beat_frequency,intermod_frequency,topology_mismatch,spike_rate,scorch_depth,noise_level,island_Delta_power,island_Delta_freq,island_Theta_power,island_Theta_freq,island_Alpha_power,island_Alpha_freq,island_Beta_3_power,island_Beta_3_freq,island_Beta_power,island_Beta_freq,island_Gamma_power,island_Gamma_freq
29.0,7.9253050831942655,0.5217022741888729,1.9253050831942655,1.0373474584028672,0.6108465444124913,85.0,0.016966891133566774,0.1,0.0,2,0.38915345558750875,6,0.23959112506913988,10,0.26357775469206535,15,0.03638736774500928,22,0.07129029668030559,40
29.5,5.025053550307457,0.33180021370093465,0.9749464496925428,1.5125267751537286,0.725711992452504,61.5,0.016932974318190772,0.1,0.0,2,0.274288007547496,6,0.27768601441545654,10,0.3549757115032577,15,0.04387683236005826,22,0.04917343398962106,40
30.0,7.688083954234658,0.5114382325767178,1.6880839542346582,1.155958022882671,0.8054126389888688,89.5,0.01689912530252871,0.1,0.0,2,0.1945873610111312,6,0.4458605400872245,10,0.2734976822583473,15,0.03854837200043148,22,0.04750604446075825,40
30.5,9.190369643586884,0.6742843171425634,0.8096303564131162,1.595184821793442,0.4151012048706896,148.5,0.016865343951048956,0.1,0.0,2,0.15053282954473465,6,0.5848987951293104,10,0.16161307701053032,15,0.03735308970866094,22,0.0656022084060256,40
31.0,9.090345634308077,0.7489135000092921,0.9096543656919227,1.5451728171540386,0.2596591692544238,152.0,0.01836317095106754,0.1,0.0,2,0.0503388289786261,6,0.7403408307455762,10,0.08502702382019542,15,0.07692939369353378,22,0.0473639226324936,40
31.5,9.999999999999998,0.8114096195794481,1.7763568394002505e-15,1.9999999999999991,0.2267638224402948,183.0,0.019985990190226437,0.1,0.0,2,0.03468839558203512,6,0.7732361775597052,10,0.0958186291435168,15,0.05970691629578895,22,0.03654988130600176,40
32.0,10.0,0.8362755481558769,0.0,2.0,0.20821900396750448,186.0,0.02165854128653819,0.1,0.0,2,0.04492729521337881,6,0.7917809960324955,10,0.10433535171319724,15,0.02426046300816225,22,0.03469589391394791,40
32.5,8.220880172569668,0.7096384809288806,1.779119827430332,1.110440086284834,0.20736493826148494,161.0,0.023077818248395953,0.1,0.0,2,0.049281788022238676,6,0.7926350617385151,10,0.09441453484534931,15,0.026949491187576596,22,0.03671912408969247,40
33.0,8.239421360938561,0.636457247869609,1.760578639061439,1.1197106804692805,0.346516298576126,132.5,0.023031685689717408,0.1,0.0,2,0.09941318163557221,6,0.653483701423874,10,0.1407330579633107,15,0.05143371400868961,22,0.05493634482741945,40
33.5,7.5438358151197775,0.545995756306185,1.5438358151197775,1.2280820924401112,0.9599225100179136,76.5,0.022985645350023665,0.1,0.0,2,0.04007748998208638,6,0.7032157338249954,10,0.17398688667771336,15,0.03569270729223769,22,0.04702718209578399,40
34.0,8.370690381320518,0.5992878305036489,1.629309618679482,1.185345190660259,0.3549401719936345,135.0,0.022939697044968968,0.1,0.0,2,0.03263949697341612,6,0.6450598280063655,10,0.2159222500104237,15,0.06539399916938426,22,0.04098442573021654,40
34.5,11.38563590212335,0.6072984067212251,1.3856359021233509,1.8071820489383246,0.49349126574335833,111.5,0.022893840590576073,0.1,0.0,2,0.0406924930359822,6,0.5065087342566417,10,0.297007694022262,15,0.09064101243528683,22,0.06515006608105049,40
35.0,8.912170111167201,0.47915840125219317,1.0878298888327986,1.4560850555836007,0.5781934485901136,85.0,0.022848075803235512,0.1,0.0,2,0.060142343387115105,6,0.42180655140988643,10,0.3655605587522429,15,0.07249712719312221,22,0.07999341904426716,40
35.5,5.424319265171707,0.15227263479970107,0.5756807348282926,1.7121596325858537,0.9635789045868852,43.0,0.022802402499704846,0.1,0.0,2,0.03642109541311481,6,0.36472322893953757,10,0.41429722261523444,15,0.07331520864438121,22,0.11124324404739111,40
36.0,5.540319270772151,0.16394720799584891,0.4596807292278493,1.7701596353860753,0.9675640581482803,37.5,0.022756820497107935,0.1,0.0,2,0.032435941851719746,6,0.3911693382943834,10,0.33479867928791956,15,0.1089991981092371,22,0.1325968420711543,40
36.5,3.496597985384284,0.07275296891448803,1.496597985384284,1.251701007307858,1.0,30.0,0.022711329612934216,0.1,0.0,2,0.04331631651259971,6,0.43972219084562336,10,0.3477895026983768,15,0.0625482367738204,22,0.10662375279460398,40
37.0,5.736088203259261,0.27850895213382565,0.2639117967407394,1.8680441016296303,0.9215166038426027,86.0,0.02266592966503796,0.1,0.0,2,0.07848339615739734,6,0.5439578145212314,10,0.2611133284792718,15,0.05486358090648815,22,0.06158187970798894,40
